Institution,City,State,AdmissionRate,Undergraduates,CarnegieClassification,Ownership,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
University of Alaska Southeast,Juneau,AK,0.5625,999.0,Master's Colleges & Universities: Medium Programs,Public,0.0,0.0653,0.0,0.0047,0.0,0.0,0.0,0.0,0.0583,0.0,0.0,0.0,0.0,0.0,0.0047,0.0769,0.0,0.0373,0.0047,0.0,0.0513,0.007,0.0,0.0,0.0,0.0,0.0,0.2121,0.0,0.049,0.0047,0.021,0.042,0.0047,0.0047,0.1632,0.1888,0.0
Alaska Pacific University,Anchorage,AK,0.9603,347.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0175,0.0,0.0,0.0,0.0,0.193,0.1228,0.0,0.0,0.0175,0.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.3333,0.0
Arizona State University Campus Immersion,Tempe,AZ,0.8819,64216.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0107,0.013,0.0041,0.0494,0.0054,0.0494,0.0,0.0436,0.091,0.0079,0.0056,0.0184,0.0092,0.0131,0.0053,0.0,0.0784,0.013,0.0,0.0393,0.0227,0.0053,0.0,0.0112,0.0029,0.0512,0.0274,0.0206,0.0582,0.0,0.0,0.0,0.006,0.0406,0.0575,0.2322,0.0073
University of Arizona,Tucson,AZ,0.8727,36560.0,Doctoral Universities: Very High Research Activity,Public,0.0258,0.0146,0.0186,0.0062,0.047,0.0,0.0481,0.0,0.0368,0.068,0.0012,0.0166,0.0136,0.0223,0.0179,0.0026,0.0,0.0933,0.011,0.0151,0.0654,0.008,0.0045,0.0,0.0216,0.0138,0.073,0.0215,0.0071,0.0629,0.0,0.0,0.0,0.0,0.0333,0.0761,0.1477,0.0065
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,0.7376,3015.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0049,0.0,0.0,0.0,0.0327,0.0,0.0245,0.0948,0.0,0.134,0.0,0.0,0.0,0.2974,0.0131,0.0,0.0507,0.0
Grand Canyon University,Phoenix,AZ,0.8284,64210.0,Doctoral/Professional Universities,Private for-profit,0.0,0.0008,0.0,0.0,0.0173,0.0,0.0221,0.0,0.1268,0.0078,0.0005,0.0004,0.0005,0.0,0.0066,0.0,0.0,0.0187,0.0,0.0,0.0,0.0196,0.0,0.0201,0.0,0.0,0.0,0.0372,0.1097,0.0084,0.0,0.0,0.0,0.0,0.0164,0.4094,0.1694,0.0081
Northern Arizona University,Flagstaff,AZ,0.7835,23772.0,Doctoral Universities: High Research Activity,Public,0.0,0.0326,0.0,0.001,0.0574,0.0,0.0161,0.0,0.0835,0.0406,0.0,0.0074,0.0,0.001,0.021,0.0734,0.0,0.0713,0.0065,0.0,0.016,0.0272,0.0018,0.0,0.0169,0.0108,0.0511,0.003,0.0269,0.0656,0.0,0.0,0.0,0.0,0.0269,0.152,0.1855,0.0044
Prescott College,Prescott,AZ,0.9932,383.0,Master's Colleges & Universities: Medium Programs,Private nonprofit,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0159,0.0397,0.0,0.0,0.0,0.0,0.1667,0.127,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0952,0.0,0.0,0.0,0.0,0.0238,0.0,0.0238,0.0
Arizona Christian University,Glendale,AZ,0.7594,1012.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.1061,0.0,0.0,0.1439,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.053,0.0,0.3106,0.0
University of Arkansas at Little Rock,Little Rock,AR,0.5769,5025.0,Doctoral Universities: High Research Activity,Public,0.0,0.0,0.0,0.0,0.0379,0.0,0.049,0.0,0.0368,0.0134,0.0543,0.0263,0.0,0.0023,0.0263,0.0741,0.0,0.0484,0.0053,0.0,0.0064,0.0,0.0029,0.0,0.0128,0.0,0.0519,0.0636,0.0368,0.0321,0.0,0.0,0.0,0.0,0.0257,0.255,0.1307,0.0082
