Institution,City,State,Undergraduates,Median Earnings
California Baptist University,Riverside,CA,8234.0,56253.0
California College of the Arts,San Francisco,CA,1239.0,49184.0
University of California-Hastings College of Law,San Francisco,CA,,
California Institute of Technology,Pasadena,CA,987.0,104209.0
California Lutheran University,Thousand Oaks,CA,2588.0,65401.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,21090.0,85801.0
Alliant International University-San Diego,San Diego,CA,227.0,63932.0
California State University-Bakersfield,Bakersfield,CA,8870.0,55530.0
California State University-Stanislaus,Turlock,CA,9161.0,58120.0
California State University-San Bernardino,San Bernardino,CA,16595.0,55258.0
California State Polytechnic University-Pomona,Pomona,CA,26802.0,67406.0
California State University-Chico,Chico,CA,14343.0,61010.0
California State University-Dominguez Hills,Carson,CA,15214.0,49934.0
California State University-Fresno,Fresno,CA,21826.0,55534.0
California State University-Fullerton,Fullerton,CA,35502.0,58585.0
California State University-East Bay,Hayward,CA,12047.0,64188.0
California State University-Long Beach,Long Beach,CA,33765.0,60973.0
California State University-Los Angeles,Los Angeles,CA,23506.0,54219.0
California State University-Northridge,Northridge,CA,34436.0,56375.0
California State University-Sacramento,Sacramento,CA,29370.0,61267.0
University of California-Berkeley,Berkeley,CA,31811.0,88046.0
University of California-Davis,Davis,CA,31637.0,74305.0
University of California-Irvine,Irvine,CA,29438.0,76593.0
University of California-Los Angeles,Los Angeles,CA,32122.0,79826.0
University of California-Riverside,Riverside,CA,22817.0,63645.0
University of California-San Diego,La Jolla,CA,33339.0,82255.0
University of California-San Francisco,San Francisco,CA,,
University of California-Santa Barbara,Santa Barbara,CA,23081.0,70326.0
University of California-Santa Cruz,Santa Cruz,CA,17864.0,64166.0
Sofia University,Palo Alto,CA,8.0,
California Beauty School,Modesto,CA,63.0,14806.0
California Christian College,Fresno,CA,14.0,
Haven University,Garden Grove,CA,22.0,
California Hair Design Academy,La Mesa,CA,94.0,23766.0
California Institute of the Arts,Valencia,CA,959.0,41120.0
California State University Maritime Academy,Vallejo,CA,880.0,91812.0
California Western School of Law,San Diego,CA,,
Canada College,Redwood City,CA,3859.0,49999.0
College of the Canyons,Santa Clarita,CA,13371.0,44488.0
Career Academy of Beauty,Garden Grove,CA,194.0,27075.0
Casa Loma College-Los Angeles,Sherman Oaks,CA,246.0,52626.0
CET-San Diego,San Diego,CA,198.0,29012.0
CET-San Jose,San Jose,CA,176.0,29012.0
CET-El Centro,El Centro,CA,159.0,29012.0
CET-Colton,Colton,CA,135.0,29012.0
CET-Watsonville,Watsonville,CA,90.0,29012.0
CET-Salinas,Salinas,CA,156.0,29012.0
Cerritos College,Norwalk,CA,17437.0,39870.0
Cerro Coso Community College,Ridgecrest,CA,3706.0,32320.0
Chabot College,Hayward,CA,10067.0,45099.0
Chaffey College,Rancho Cucamonga,CA,15267.0,38693.0
Chapman University,Orange,CA,7469.0,64844.0
Charles R Drew University of Medicine and Science,Los Angeles,CA,255.0,103684.0
Concordia University-Irvine,Irvine,CA,1580.0,59831.0
San Diego Christian College,Spring Valley,CA,438.0,50020.0
Church Divinity School of the Pacific,Berkeley,CA,,
Citrus College,Glendora,CA,8260.0,40046.0
Citrus Heights Beauty College,Citrus Heights,CA,101.0,
City College of San Francisco,San Francisco,CA,16219.0,47169.0
Claremont Graduate University,Claremont,CA,,
Claremont McKenna College,Claremont,CA,1414.0,97174.0
Milan Institute-Visalia,Visalia,CA,430.0,29104.0
Clovis Adult Education,Clovis,CA,340.0,52431.0
Coastline Community College,Fountain Valley,CA,5719.0,40708.0
University of Silicon Valley,San Jose,CA,420.0,55079.0
Coba Academy,Anaheim,CA,132.0,25135.0
Western University of Health Sciences,Pomona,CA,,
Columbia College,Sonora,CA,1509.0,34788.0
Columbia College Hollywood,Tarzana,CA,493.0,37542.0
Compton College,Compton,CA,2635.0,30063.0
Contra Costa College,San Pablo,CA,4429.0,41541.0
Cosumnes River College,Sacramento,CA,12575.0,38975.0
Crafton Hills College,Yucaipa,CA,4481.0,40617.0
Cuesta College,San Luis Obispo,CA,6961.0,46197.0
Cuyamaca College,El Cajon,CA,6473.0,35068.0
Cypress College,Cypress,CA,12090.0,42219.0
De Anza College,Cupertino,CA,14706.0,57099.0
International School of Beauty Inc,Palm Desert,CA,159.0,22043.0
Dell'Arte International School of Physical Theatre,Blue Lake,CA,13.0,
College of the Desert,Palm Desert,CA,8634.0,38688.0
Design Institute of San Diego,San Diego,CA,119.0,47121.0
Diablo Valley College,Pleasant Hill,CA,15326.0,49308.0
Dominican University of California,San Rafael,CA,1243.0,71134.0
Dominican School of Philosophy & Theology,Berkeley,CA,,
East Los Angeles College,Monterey Park,CA,25649.0,39398.0
El Camino Community College District,Torrance,CA,16764.0,39968.0
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,,
Empire College,Santa Rosa,CA,,39724.0
Evergreen Valley College,San Jose,CA,6746.0,50010.0
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,1724.0,46231.0
Feather River Community College District,Quincy,CA,1220.0,31848.0
Federico Beauty Institute,Sacramento,CA,297.0,30214.0
Fielding Graduate University,Santa Barbara,CA,,
Five Branches University,Santa Cruz,CA,,
Redondo Beach Beauty College,Torrance,CA,58.0,
Foothill College,Los Altos Hills,CA,10593.0,53611.0
Franciscan School of Theology,San Diego,CA,,
Fredrick and Charles Beauty College,Eureka,CA,59.0,16694.0
Fresno City College,Fresno,CA,15554.0,34824.0
Fresno Pacific University,Fresno,CA,2668.0,55044.0
Fuller Theological Seminary,Pasadena,CA,,
Fullerton College,Fullerton,CA,16287.0,42084.0
Gavilan College,Gilroy,CA,3744.0,37448.0
Gemological Institute of America-Carlsbad,Carlsbad,CA,104.0,50371.0
Glendale Community College,Glendale,CA,10107.0,38915.0
Glendale Career College,Glendale,CA,305.0,40028.0
Golden Gate University,San Francisco,CA,679.0,86864.0
Golden West College,Huntington Beach,CA,8830.0,41071.0
Graduate Theological Union,Berkeley,CA,,
Grossmont College,El Cajon,CA,11455.0,39952.0
Salon Success Academy-Riverside,Riverside,CA,116.0,25728.0
Hartnell College,Salinas,CA,8635.0,42992.0
Harvey Mudd College,Claremont,CA,905.0,128215.0
Hilltop Beauty School,Daly City,CA,99.0,27973.0
Holy Names University,Oakland,CA,592.0,67068.0
Pacifica Graduate Institute,Carpinteria,CA,,
California State Polytechnic University-Humboldt,Arcata,CA,5336.0,46266.0
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,197.0,37815.0
Imperial Valley College,Imperial,CA,6385.0,32273.0
Institute for Business and Technology,Santa Clara,CA,693.0,40596.0
Interior Designers Institute,Newport Beach,CA,110.0,43282.0
International School of Cosmetology,Los Angeles,CA,158.0,20363.0
Irvine Valley College,Irvine,CA,9140.0,48288.0
Bellus Academy-El Cajon,El Cajon,CA,226.0,25694.0
American Jewish University,Los Angeles,CA,22.0,56666.0
Reedley College,Reedley,CA,3852.0,35337.0
Life Pacific University,San Dimas,CA,419.0,40331.0
University of La Verne,La Verne,CA,3686.0,62629.0
Laguna College of Art and Design,Laguna Beach,CA,735.0,55170.0
