Institution,City,State,Undergraduates,Median Earnings
Lone Star College System,The Woodlands,TX,49093.0,41926.0
University of North Texas,Denton,TX,32590.0,54047.0
Northeast Texas Community College,Mount Pleasant,TX,1795.0,34206.0
Oblate School of Theology,San Antonio,TX,,
Ocean Corporation,Houston,TX,174.0,56358.0
Odessa College,Odessa,TX,4537.0,41093.0
Ogle School Hair Skin Nails-Arlington,Arlington,TX,284.0,25124.0
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,338.0,27901.0
Our Lady of the Lake University,San Antonio,TX,1188.0,46486.0
The University of Texas Rio Grande Valley,Edinburg,TX,26402.0,47698.0
Texas Southmost College,Brownsville,TX,3865.0,40076.0
Panola College,Carthage,TX,1539.0,35407.0
Paris Junior College,Paris,TX,2418.0,33902.0
Paul Quinn College,Dallas,TX,384.0,35695.0
Prairie View A & M University,Prairie View,TX,8444.0,43390.0
Ranger College,Ranger,TX,2066.0,43516.0
Aviation Institute of Maintenance-Houston,Houston,TX,244.0,
Rice University,Houston,TX,4240.0,87254.0
Saint Edward's University,Austin,TX,2867.0,56465.0
St Philip's College,San Antonio,TX,8900.0,36707.0
University of St Thomas,Houston,TX,2603.0,54322.0
Sam Houston State University,Huntsville,TX,18288.0,52250.0
San Antonio College,San Antonio,TX,14741.0,37120.0
San Jacinto Community College,Pasadena,TX,23993.0,43260.0
Schreiner University,Kerrville,TX,967.0,47674.0
Seguin Beauty School-Seguin,Seguin,TX,18.0,18899.0
St. Mary's University,San Antonio,TX,2083.0,56763.0
South Plains College,Levelland,TX,6714.0,39381.0
South Texas Barber College Inc,Corpus Christi,TX,14.0,20749.0
South Texas College of Law Houston,Houston,TX,,
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,332.0,26594.0
Miller-Motte College-STVT-McAllen,McAllen,TX,444.0,28836.0
Southern Methodist University,Dallas,TX,6894.0,76672.0
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,19.0,24403.0
Southwest Texas Junior College,Uvalde,TX,2950.0,34970.0
Southwestern Assemblies of God University,Waxahachie,TX,1469.0,41771.0
Southwestern University,Georgetown,TX,1500.0,60338.0
Stephen F Austin State University,Nacogdoches,TX,9515.0,48292.0
Texas State University,San Marcos,TX,33175.0,53885.0
Southwestern Adventist University,Keene,TX,818.0,46824.0
Southwestern Christian College,Terrell,TX,92.0,30294.0
Sul Ross State University,Alpine,TX,1603.0,44892.0
Tarleton State University,Stephenville,TX,11666.0,49993.0
Tarrant County College District,Fort Worth,TX,35075.0,41667.0
Temple College,Temple,TX,3038.0,38025.0
University of Texas Southwestern Medical Center,Dallas,TX,,72316.0
The University of Texas Health Science Center at San Antonio,San Antonio,TX,787.0,75072.0
The University of Texas Medical Branch at Galveston,Galveston,TX,672.0,85570.0
Texarkana College,Texarkana,TX,2672.0,33263.0
Texas A & M University-Kingsville,Kingsville,TX,4755.0,49528.0
Texas A & M University-College Station,College Station,TX,56006.0,70877.0
The University of Texas at Arlington,Arlington,TX,32658.0,57994.0
The University of Texas at Austin,Austin,TX,40506.0,72713.0
The University of Texas at Dallas,Richardson,TX,21416.0,64398.0
The University of Texas at El Paso,El Paso,TX,20008.0,47101.0
The University of Texas at Tyler,Tyler,TX,6752.0,52674.0
Texas Chiropractic College Foundation Inc,Pasadena,TX,,
Texas Christian University,Fort Worth,TX,10215.0,63517.0
Texas College,Tyler,TX,731.0,32191.0
University of North Texas Health Science Center,Fort Worth,TX,,
Texas Lutheran University,Seguin,TX,1400.0,54428.0
The University of Texas Permian Basin,Odessa,TX,3443.0,54965.0
The University of Texas at San Antonio,San Antonio,TX,29151.0,54117.0
Texas Southern University,Houston,TX,5726.0,36251.0
Texas Tech University,Lubbock,TX,32414.0,60456.0
Texas Wesleyan University,Fort Worth,TX,1454.0,50920.0
Texas Woman's University,Denton,TX,9035.0,52581.0
Trinity University,San Antonio,TX,2509.0,67418.0
The University of Texas Health Science Center at Houston,Houston,TX,685.0,76094.0
Texas Tech University Health Sciences Center,Lubbock,TX,1468.0,83885.0
Tyler Junior College,Tyler,TX,9288.0,37832.0
Universal Technical Institute of Texas Inc.,Houston,TX,1868.0,51264.0
UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,155.0,18827.0
Vernon College,Vernon,TX,2339.0,37631.0
Victoria Beauty & Barber College,Victoria,TX,97.0,17838.0
Victoria College,Victoria,TX,2514.0,38911.0
Vogue College of Cosmetology-McAllen,McAllen,TX,264.0,
Wayland Baptist University,Plainview,TX,2393.0,48992.0
Weatherford College,Weatherford,TX,3873.0,39958.0
West Texas A & M University,Canyon,TX,7015.0,49266.0
Western Texas College,Snyder,TX,527.0,42064.0
Wharton County Junior College,Wharton,TX,4918.0,42933.0
Wiley College,Marshall,TX,665.0,33749.0
Bridgerland Technical College,Logan,UT,1562.0,35405.0
Brigham Young University,Provo,UT,31642.0,74630.0
Brigham Young University-Hawaii,Laie,HI,2861.0,50616.0
Broadview College,West Jordan,UT,127.0,34255.0
Cameo College of Essential Beauty,Murray,UT,287.0,24624.0
Collectiv Academy,Sandy,UT,28.0,35592.0
Davis Technical College,Kaysville,UT,2425.0,37907.0
Utah Tech University,Saint George,UT,8796.0,43180.0
Evans Hairstyling College-Cedar City,Cedar City,UT,61.0,22134.0
Evans Hairstyling College-St George,Saint George,UT,71.0,20581.0
Paul Mitchell the School-Salt Lake City,Holladay,UT,311.0,25678.0
Eagle Gate College-Murray,Murray,UT,285.0,35334.0
Ensign College,Salt Lake City,UT,2663.0,48456.0
Ogden-Weber Technical College,Ogden,UT,2094.0,35962.0
Snow College,Ephraim,UT,3672.0,40225.0
Southern Utah University,Cedar City,UT,9297.0,49051.0
Uintah Basin Technical College,Roosevelt,UT,245.0,24609.0
Utah State University,Logan,UT,20516.0,52764.0
Utah Valley University,Orem,UT,27489.0,54882.0
Salt Lake Community College,Salt Lake City,UT,18373.0,45801.0
University of Utah,Salt Lake City,UT,24850.0,64456.0
Weber State University,Ogden,UT,15944.0,54989.0
Westminster College,Salt Lake City,UT,1153.0,60657.0
Bennington College,Bennington,VT,735.0,48343.0
Castleton University,Castleton,VT,1622.0,48163.0
Champlain College,Burlington,VT,3170.0,64456.0
Community College of Vermont,Montpelier,VT,3754.0,39685.0
Goddard College,Plainfield,VT,146.0,40421.0
Northern Vermont University,Johnson,VT,1320.0,44323.0
Middlebury College,Middlebury,VT,2837.0,69022.0
Norwich University,Northfield,VT,2924.0,65540.0
O'Briens Aveda Institute,Williston,VT,45.0,
Saint Michael's College,Colchester,VT,1415.0,67947.0
SIT Graduate Institute,Brattleboro,VT,0.0,
Sterling College,Craftsbury Common,VT,108.0,
Vermont Law and Graduate School,South Royalton,VT,,
Vermont Technical College,Randolph,VT,1177.0,64761.0
University of Vermont,Burlington,VT,11081.0,62778.0
Paul Mitchell the School-Roanoke,Roanoke,VA,107.0,14535.0
Advanced Technology Institute,Virginia Beach,VA,466.0,45106.0
Averett University,Danville,VA,1094.0,48621.0
Blue Ridge Community College,Weyers Cave,VA,2428.0,37671.0
Bluefield University,Bluefield,VA,628.0,45094.0
Bridgewater College,Bridgewater,VA,1426.0,50510.0
William & Mary,Williamsburg,VA,6521.0,69897.0
Regent University,Virginia Beach,VA,4246.0,44160.0
Central School of Practical Nursing,Norfolk,VA,20.0,
Central Virginia Community College,Lynchburg,VA,1997.0,34341.0
Christopher Newport University,Newport News,VA,4463.0,57364.0
Allegiance Beauty School,Norfolk,VA,12.0,14789.0
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,1239.0,30181.0
Mountain Gateway Community College,Clifton Forge,VA,511.0,35488.0
Danville Community College,Danville,VA,1312.0,29937.0
Eastern Virginia Medical School,Norfolk,VA,,
Centura College-Virginia Beach,Virginia Beach,VA,113.0,22899.0
Emory & Henry College,Emory,VA,1072.0,46471.0
Eastern Mennonite University,Harrisonburg,VA,916.0,47702.0
Eastern Shore Community College,Melfa,VA,393.0,32625.0
Ferrum College,Ferrum,VA,860.0,42933.0
George Mason University,Fairfax,VA,26339.0,69958.0
Germanna Community College,Locust Grove,VA,5261.0,37533.0
Hampden-Sydney College,Hampden-Sydney,VA,851.0,70692.0
Hampton University,Hampton,VA,2855.0,55618.0
Hollins University,Roanoke,VA,713.0,39313.0
J Sargeant Reynolds Community College,Richmond,VA,5299.0,35817.0
James Madison University,Harrisonburg,VA,19743.0,65172.0
Brightpoint Community College,Chester,VA,5386.0,38422.0
Liberty University,Lynchburg,VA,47179.0,45115.0
Longwood University,Farmville,VA,3200.0,49069.0
Laurel Ridge Community College,Middletown,VA,3180.0,36052.0
University of Lynchburg,Lynchburg,VA,1614.0,50248.0
Centra College,Lynchburg,VA,304.0,59641.0
Mary Baldwin University,Staunton,VA,1458.0,39605.0
University of Mary Washington,Fredericksburg,VA,3624.0,60281.0
Marymount University,Arlington,VA,1891.0,62704.0
Sovah School of Health Professions,Danville,VA,19.0,61615.0
Mountain Empire Community College,Big Stone Gap,VA,1268.0,30359.0
American National University,Salem,VA,868.0,25310.0
New River Community College,Dublin,VA,1954.0,36210.0
Sentara College of Health Sciences,Chesapeake,VA,260.0,65542.0
Tidewater Tech-Trades,Norfolk,VA,466.0,31974.0
Norfolk State University,Norfolk,VA,5004.0,41222.0
Northern Virginia Community College,Annandale,VA,32902.0,50387.0
Old Dominion University,Norfolk,VA,18429.0,52678.0
Patrick & Henry Community College,Martinsville,VA,1402.0,29592.0
Paul D Camp Community College,Franklin,VA,618.0,30289.0
Southside College of Health Sciences,Colonial Heights,VA,107.0,69072.0
Piedmont Virginia Community College,Charlottesville,VA,3039.0,37574.0
Radford University,Radford,VA,6437.0,52232.0
Sylvain Melloul International Hair Academy,Lynchburg,VA,146.0,24530.0
Randolph-Macon College,Ashland,VA,1490.0,58576.0
Randolph College,Lynchburg,VA,475.0,48998.0
Rappahannock Community College,Glenns,VA,1216.0,34229.0
Fortis College-Norfolk,Norfolk,VA,441.0,28215.0
Richard Bland College,South Prince George,VA,1243.0,38011.0
Bon Secours Memorial College of Nursing,Richmond,VA,427.0,68025.0
University of Richmond,University of Richmond,VA,3098.0,80715.0
Riverside College of Health Careers,Newport News,VA,322.0,53151.0
Roanoke College,Salem,VA,1837.0,55411.0
Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,33.0,
Shenandoah University,Winchester,VA,2122.0,55196.0
Southeastern Free Will Baptist Bible College,Wendell,NC,61.0,
Southern Virginia University,Buena Vista,VA,1066.0,38890.0
Southside Virginia Community College,Alberta,VA,1575.0,27667.0
Southwest Virginia Community College,Cedar Bluff,VA,1554.0,31318.0
Staunton School of Cosmetology,Staunton,VA,44.0,18416.0
Strayer University-Virginia,Arlington,VA,2594.0,42990.0
Sweet Briar College,Sweet Briar,VA,451.0,50618.0
Virginia Peninsula Community College,Hampton,VA,4327.0,35366.0
Tidewater Community College,Norfolk,VA,13610.0,36237.0
Union Presbyterian Seminary,Richmond,VA,,
University of Virginia's College at Wise,Wise,VA,1102.0,41901.0
Virginia Highlands Community College,Abingdon,VA,1718.0,31879.0
Virginia Polytechnic Institute and State University,Blacksburg,VA,29699.0,77621.0
Virginia Western Community College,Roanoke,VA,3535.0,35860.0
Virginia Commonwealth University,Richmond,VA,20918.0,54300.0
University of Virginia-Main Campus,Charlottesville,VA,17041.0,80584.0
Virginia Military Institute,Lexington,VA,1652.0,76984.0
Asher Institute of Hampton,Hampton,VA,34.0,23842.0
Virginia University of Lynchburg,Lynchburg,VA,217.0,26407.0
Virginia State University,Petersburg,VA,3886.0,43364.0
Virginia Union University,Richmond,VA,1190.0,38575.0
Virginia Wesleyan University,Virginia Beach,VA,1190.0,46249.0
Washington and Lee University,Lexington,VA,1850.0,84232.0
Wytheville Community College,Wytheville,VA,1188.0,31320.0
Bellevue College,Bellevue,WA,9752.0,57963.0
Bellingham Technical College,Bellingham,WA,1706.0,46730.0
Big Bend Community College,Moses Lake,WA,1696.0,40342.0
Central Washington University,Ellensburg,WA,9508.0,59283.0
Centralia College,Centralia,WA,1616.0,36819.0
City University of Seattle,Seattle,WA,1004.0,64434.0
Paul Mitchell the School-Richland,Richland,WA,286.0,22699.0
Clark College,Vancouver,WA,5874.0,40689.0
Clover Park Technical College,Lakewood,WA,1184.0,37005.0
Columbia Basin College,Pasco,WA,5301.0,44022.0
Cornish College of the Arts,Seattle,WA,428.0,38668.0
Divers Institute of Technology,Seattle,WA,247.0,61337.0
Eastern Washington University,Cheney,WA,7589.0,55189.0
Edmonds College,Lynnwood,WA,3839.0,45566.0
Everett Community College,Everett,WA,6484.0,41419.0
Paroba College of Cosmetology,Everett,WA,92.0,29445.0
The Evergreen State College,Olympia,WA,1819.0,42742.0
Pierce College District,Lakewood,WA,6407.0,44767.0
Glen Dow Academy of Hair Design,Spokane,WA,105.0,23314.0
Gonzaga University,Spokane,WA,4962.0,76325.0
Grays Harbor College,Aberdeen,WA,1297.0,35967.0
Green River College,Auburn,WA,6330.0,45445.0
Toni & Guy Hairdressing Academy-Shoreline,Shoreline,WA,110.0,32668.0
Heritage University,Toppenish,WA,805.0,45995.0
Highline College,Des Moines,WA,4254.0,47609.0
International Air and Hospitality Academy,Vancouver,WA,158.0,30631.0
Bastyr University,Kenmore,WA,67.0,51343.0
Highlights Beauty Schools,Mountlake Terrace,WA,101.0,32033.0
Bates Technical College,Tacoma,WA,703.0,41500.0
Lake Washington Institute of Technology,Kirkland,WA,1522.0,47026.0
Lower Columbia College,Longview,WA,1997.0,39754.0
BJ's Beauty & Barber College,Tacoma,WA,39.0,22174.0
North Seattle College,Seattle,WA,2914.0,46503.0
Northwest University,Kirkland,WA,754.0,52311.0
Olympic College,Bremerton,WA,4122.0,41056.0
Perry Technical Institute,Yakima,WA,867.0,57468.0
Pacific Lutheran University,Tacoma,WA,2331.0,60932.0
Peninsula College,Port Angeles,WA,1191.0,37522.0
University of Puget Sound,Tacoma,WA,1866.0,64570.0
Renton Technical College,Renton,WA,1056.0,45868.0
Saint Martin's University,Lacey,WA,1347.0,60191.0
South Seattle College,Seattle,WA,1808.0,44851.0
Seattle Central College,Seattle,WA,3325.0,42388.0
Seattle Pacific University,Seattle,WA,2611.0,61006.0
Seattle University,Seattle,WA,4233.0,73484.0
Shoreline Community College,Shoreline,WA,2719.0,49505.0
Skagit Valley College,Mount Vernon,WA,2987.0,41489.0
South Puget Sound Community College,Olympia,WA,3450.0,40731.0
Spokane Community College,Spokane,WA,4789.0,38054.0
Spokane Falls Community College,Spokane,WA,3646.0,36891.0
Stylemaster College of Hair Design,Longview,WA,36.0,21708.0
Tacoma Community College,Tacoma,WA,4945.0,45670.0
Walla Walla Community College,Walla Walla,WA,1863.0,40539.0
Walla Walla University,College Place,WA,1316.0,56658.0
Washington State University,Pullman,WA,23966.0,65331.0
University of Washington-Seattle Campus,Seattle,WA,31367.0,74063.0
Wenatchee Valley College,Wenatchee,WA,2411.0,39131.0
Western Washington University,Bellingham,WA,13933.0,59142.0
Whatcom Community College,Bellingham,WA,3611.0,44966.0
Whitman College,Walla Walla,WA,1539.0,64442.0
Whitworth University,Spokane,WA,2293.0,57211.0
Yakima Valley College,Yakima,WA,2761.0,39586.0
Alderson Broaddus University,Philippi,WV,706.0,49097.0
Appalachian Beauty School,Belfry,KY,51.0,
Appalachian Bible College,Mount Hope,WV,167.0,36585.0
B M Spurr School of Practical Nursing,Glen Dale,WV,26.0,34710.0
Ben Franklin Career Center,Dunbar,WV,39.0,24832.0
Bethany College,Bethany,WV,531.0,45183.0
Bluefield State University,Bluefield,WV,1334.0,38646.0
Cabell County Career Technology Center,Huntington,WV,80.0,28829.0
Charleston School of Beauty Culture,Charleston,WV,52.0,18925.0
University of Charleston,Charleston,WV,2118.0,46166.0
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV,47.0,15181.0
Concord University,Athens,WV,1345.0,40246.0
Davis & Elkins College,Elkins,WV,659.0,38710.0
Fairmont State University,Fairmont,WV,2908.0,38538.0
Glenville State University,Glenville,WV,1182.0,36815.0
Huntington Junior College,Huntington,WV,147.0,22117.0
James Rumsey Technical Institute,Martinsburg,WV,151.0,43465.0
Ralph R Willis Career and Technical Center,Stollings,WV,19.0,31693.0
Marshall University,Huntington,WV,7175.0,43564.0
Mercer County Technical Education Center,Princeton,WV,104.0,33645.0
Monongalia County Technical Education Center,Morgantown,WV,69.0,31923.0
Morgantown Beauty College Inc,Morgantown,WV,76.0,24281.0
Mountain State College,Parkersburg,WV,20.0,18247.0
West Virginia University at Parkersburg,Parkersburg,WV,1607.0,32799.0
Potomac State College of West Virginia University,Keyser,WV,998.0,55073.0
Academy of Careers and Technology,Beckley,WV,140.0,36211.0
Salem University,Salem,WV,782.0,33639.0
Shepherd University,Shepherdstown,WV,2299.0,47268.0
Southern West Virginia Community and Technical College,Mount Gay,WV,1215.0,28877.0
Fred W Eberle Technical Center,Buckhannon,WV,100.0,36833.0
West Virginia School of Osteopathic Medicine,Lewisburg,WV,,
West Virginia State University,Institute,WV,1373.0,38235.0
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV,55.0,58661.0
West Liberty University,West Liberty,WV,1653.0,41989.0
West Virginia University Institute of Technology,Beckley,WV,1103.0,55073.0
West Virginia Wesleyan College,Buckhannon,WV,978.0,48086.0
West Virginia Junior College-Charleston,Cross Lanes,WV,211.0,22658.0
West Virginia Junior College-Morgantown,Morgantown,WV,558.0,26620.0
International Beauty School 4,Martinsburg,WV,83.0,17697.0
West Virginia Northern Community College,Wheeling,WV,841.0,31414.0
West Virginia University,Morgantown,WV,18878.0,55073.0
Wheeling University,Wheeling,WV,599.0,57251.0
Wood County School of Practical Nursing,Parkersburg,WV,16.0,38932.0
VICI Beauty School,Greenfield,WI,124.0,27101.0
Alverno College,Milwaukee,WI,858.0,48547.0
Madison Area Technical College,Madison,WI,8536.0,43770.0
Bellin College,Green Bay,WI,356.0,68292.0
Beloit College,Beloit,WI,956.0,53720.0
Blackhawk Technical College,Janesville,WI,2247.0,39595.0
Cardinal Stritch University,Milwaukee,WI,602.0,56811.0
Carroll University,Waukesha,WI,2799.0,52782.0
Carthage College,Kenosha,WI,2616.0,56427.0
Concordia University-Wisconsin,Mequon,WI,2628.0,51567.0
Edgewood College,Madison,WI,1147.0,55742.0
Fox Valley Technical College,Appleton,WI,5758.0,43445.0
Gateway Technical College,Kenosha,WI,4685.0,37787.0
The Professional Hair Design Academy,Eau Claire,WI,66.0,25615.0
Lakeland University,Plymouth,WI,1396.0,52878.0
Lakeshore Technical College,Cleveland,WI,1840.0,42947.0
Lawrence University,Appleton,WI,1468.0,50848.0
Maranatha Baptist University,Watertown,WI,563.0,45876.0
Marian University,Fond Du Lac,WI,1144.0,53441.0
Marquette University,Milwaukee,WI,7466.0,76417.0
Medical College of Wisconsin,Milwaukee,WI,,
Mid-State Technical College,Wisconsin Rapids,WI,2162.0,40746.0
Milwaukee Area Technical College,Milwaukee,WI,11010.0,37727.0
Milwaukee Institute of Art & Design,Milwaukee,WI,896.0,40406.0
Milwaukee School of Engineering,Milwaukee,WI,2554.0,84860.0
Moraine Park Technical College,Fond du Lac,WI,2407.0,43714.0
Mount Mary University,Milwaukee,WI,659.0,47959.0
Nashotah House,Nashotah,WI,,
Nicolet Area Technical College,Rhinelander,WI,807.0,36537.0
Northcentral Technical College,Wausau,WI,3187.0,41719.0
Northeast Wisconsin Technical College,Green Bay,WI,7089.0,41645.0
Northland College,Ashland,WI,520.0,42687.0
Ripon College,Ripon,WI,790.0,51436.0
Sacred Heart Seminary and School of Theology,Franklin,WI,,
Saint Norbert College,De Pere,WI,1919.0,54223.0
State College of Beauty Culture Inc,Wausau,WI,45.0,24077.0
Southwest Wisconsin Technical College,Fennimore,WI,1421.0,39758.0
Viterbo University,La Crosse,WI,1639.0,52502.0
Chippewa Valley Technical College,Eau Claire,WI,4105.0,43773.0
Waukesha County Technical College,Pewaukee,WI,4449.0,43520.0
Western Technical College,La Crosse,WI,3698.0,42215.0
University of Wisconsin-Whitewater,Whitewater,WI,9298.0,52316.0
Northwood Technical College,Shell Lake,WI,2183.0,39518.0
Wisconsin School of Professional Psychology,Milwaukee,WI,,
University of Wisconsin-Eau Claire,Eau Claire,WI,9633.0,55619.0
University of Wisconsin-Green Bay,Green Bay,WI,6475.0,49099.0
University of Wisconsin-La Crosse,La Crosse,WI,9230.0,57125.0
Wisconsin Lutheran College,Milwaukee,WI,976.0,51291.0
University of Wisconsin-Oshkosh,Oshkosh,WI,8419.0,51418.0
University of Wisconsin-Parkside,Kenosha,WI,3244.0,45774.0
Herzing University-Madison,Madison,WI,1661.0,34238.0
University of Wisconsin-Stout,Menomonie,WI,6480.0,56554.0
University of Wisconsin-Superior,Superior,WI,2075.0,45677.0
University of Wisconsin-Madison,Madison,WI,33506.0,70586.0
University of Wisconsin-Milwaukee,Milwaukee,WI,18322.0,53169.0
University of Wisconsin-Platteville,Platteville,WI,6124.0,55720.0
University of Wisconsin-River Falls,River Falls,WI,4730.0,50940.0
University of Wisconsin-Stevens Point,Stevens Point,WI,7103.0,48872.0
Casper College,Casper,WY,2358.0,42420.0
Central Wyoming College,Riverton,WY,961.0,33632.0
Eastern Wyoming College,Torrington,WY,498.0,32422.0
Laramie County Community College,Cheyenne,WY,2489.0,41551.0
Northwest College,Powell,WY,892.0,37353.0
Northern Wyoming Community College District,Sheridan,WY,1687.0,39448.0
Western Wyoming Community College,Rock Springs,WY,1394.0,35081.0
Cheeks Beauty Academy,Cheyenne,WY,43.0,24188.0
WyoTech,Laramie,WY,742.0,50265.0
University of Wyoming,Laramie,WY,8700.0,53303.0
American Samoa Community College,Pago Pago,AS,1237.0,28524.0
Guam Community College,Mangilao,GU,1533.0,27508.0
University of Guam,Mangilao,GU,2742.0,34656.0
Northern Marianas College,Saipan,MP,1274.0,25107.0
Institute of Beauty Careers,Arecibo,PR,220.0,15194.0
American University of Puerto Rico,Bayamon,PR,223.0,21114.0
American University of Puerto Rico,Manati,PR,266.0,21114.0
American Educational College,Bayamon,PR,215.0,17292.0
Antilles School of Technical Careers,San Juan,PR,428.0,22722.0
Universidad Adventista de las Antillas,Mayaguez,PR,852.0,29347.0
Atlantic University College,Guaynabo,PR,1513.0,22842.0
Universidad Central de Bayamon,Bayamón,PR,742.0,22263.0
Columbia Central University-Caguas,Caguas,PR,2217.0,21957.0
Albizu University-San Juan,San Juan,PR,666.0,41451.0
Caribbean University-Bayamon,Bayamon,PR,616.0,21885.0
Caribbean University-Carolina,Carolina,PR,126.0,21885.0
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,346.0,22797.0
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,4301.0,22797.0
CEM College-San Juan,San Juan,PR,236.0,19736.0
Universidad Teologica del Caribe,Trujillo Alto,PR,315.0,21480.0
Colegio Universitario de San Juan,San Juan,PR,675.0,26829.0
Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,6116.0,22394.0
Puerto Rico Conservatory of Music,San Juan,PR,315.0,25762.0
Center for Advanced Studies On Puerto Rico and the Caribbean,San Juan,PR,,
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,910.0,21063.0
Emma's Beauty Academy-Mayaguez,Mayaguez,PR,200.0,13668.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,485.0,21688.0
Instituto Tecnologico de Puerto Rico-Recinto de Manati,Manati,PR,283.0,24601.0
Huertas College,Caguas,PR,505.0,22113.0
Humacao Community College,Humacao,PR,282.0,19424.0
ICPR Junior College-Arecibo,Arecibo,PR,275.0,17823.0
ICPR Junior College-Mayaguez,Mayaguez,PR,355.0,17823.0
Richport Technical College,Baton Rouge,LA,66.0,15323.0
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Guayama,PR,244.0,24601.0
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Ponce,PR,99.0,24601.0
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,San Juan,PR,216.0,24601.0
Inter American University of Puerto Rico-San German,San German,PR,2688.0,22851.0
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,2986.0,23125.0
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,2665.0,22843.0
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,1092.0,22539.0
Inter American University of Puerto Rico-Metro,San Juan,PR,3549.0,28285.0
Inter American University of Puerto Rico-Ponce,Mercedita,PR,2934.0,24185.0
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,1288.0,20402.0
Inter American University of Puerto Rico-Guayama,Guayama,PR,1491.0,24488.0
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,3784.0,28181.0
Inter American University of Puerto Rico-School of Law,San Juan,PR,,
International Technical College,San Juan,PR,90.0,19066.0
Liceo de Arte y Tecnologia,San Juan,PR,948.0,25131.0
Modern Hairstyling Institute-Bayamon,Bayamon,PR,138.0,16766.0
Modern Hairstyling Institute-Arecibo,Arecibo,PR,73.0,17123.0
NUC University,Bayamon,PR,23700.0,21991.0
Ponce Health Sciences University,Ponce,PR,,
University of Puerto Rico-Aguadilla,Aguadilla,PR,2166.0,24465.0
University of Puerto Rico-Arecibo,Arecibo,PR,3085.0,25140.0
University of Puerto Rico-Bayamon,Bayamon,PR,3326.0,31302.0
University of Puerto Rico-Carolina,Carolina,PR,2281.0,28013.0
University of Puerto Rico-Cayey,Cayey,PR,2537.0,27007.0
University of Puerto Rico-Humacao,Humacao,PR,2804.0,27314.0
University of Puerto Rico-Utuado,Utuado,PR,452.0,21778.0
University of Puerto Rico-Mayaguez,Mayaguez,PR,11050.0,41188.0
University of Puerto Rico-Medical Sciences,San Juan,PR,336.0,39986.0
University of Puerto Rico at Ponce,Ponce,PR,2249.0,27305.0
University of Puerto Rico-Rio Piedras,San Juan,PR,10133.0,32393.0
Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,5495.0,22516.0
Universidad del Sagrado Corazon,Santurce,PR,3572.0,27904.0
Seminario Evangelico de Puerto Rico,San Juan,PR,,
Universidad Central Del Caribe,Bayamon,PR,94.0,23806.0
Universidad Politecnica de Puerto Rico,Hato Rey,PR,3668.0,41748.0
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,691.0,22797.0
Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,8772.0,24041.0
College of Micronesia-FSM,Pohnpei,FM,1936.0,23377.0
Palau Community College,Koror,PW,523.0,31212.0
University of the Virgin Islands,Charlotte Amalie,VI,1330.0,39307.0
Stanford University,Stanford,CA,7645.0,106987.0
Purdue University-Main Campus,West Lafayette,IN,37658.0,68414.0
Blue Hills Regional Technical School,Canton,MA,56.0,
Parker University,Dallas,TX,466.0,45604.0
EDP University of Puerto Rico Inc-San Juan,San Juan,PR,1233.0,21063.0
ICPR Junior College,Hato Rey,PR,463.0,17823.0
City College-Fort Lauderdale,Fort Lauderdale,FL,85.0,31329.0
Meridian College,Sarasota,FL,194.0,26578.0
Georgia State University-Perimeter College,Atlanta,GA,12963.0,44812.0
Georgia Piedmont Technical College,Clarkston,GA,2018.0,31873.0
ETI School of Skilled Trades,Willowbrook,IL,406.0,44410.0
Traxlers School of Hair,Jackson,MS,74.0,25424.0
Warren County Community College,Washington,NJ,897.0,37995.0
St. John's College,Santa Fe,NM,368.0,41407.0
Bais Medrash Elyon,Monsey,NY,40.0,
Antioch University-Los Angeles,Culver City,CA,102.0,44473.0
Antioch University-Santa Barbara,Santa Barbara,CA,48.0,44473.0
Antioch University-New England,Keene,NH,,44473.0
Antioch University-Seattle,Seattle,WA,98.0,44473.0
Antioch University,Yellow Springs,OH,137.0,44473.0
Mid-America Christian University,Oklahoma City,OK,1359.0,45508.0
Miller-Motte College-Tulsa,Tulsa,OK,136.0,28836.0
